id_elemento,categoria,tipo,abscisa,codigo_clasificacion,material,dimension_mm,fecha_instalacion,ficha_mantenimiento,estado_revision,responsable,observacion
POZ-001,Pozo de inspeccion,Pozo tipo A,K0+030,EI-2010-11,Concreto,1200,2025-02-10,FM-10201,Aprobado,Consorcio Via Norte,
POZ-002,Pozo de inspeccion,Pozo tipo A,K0+095,EI-2010-11,Concreto,1200,2025-02-10,FM-10202,Aprobado,Consorcio Via Norte,
POZ-003,Pozo de inspeccion,Pozo tipo A,K0+160,EI-2010-11,Concreto,1200,2025-02-12,FM-10203,Aprobado,Consorcio Via Norte,
POZ-004,Pozo de inspeccion,Pozo tipo B,K0+228,EI-2010-12,Concreto,1500,2025-02-12,FM-10204,Aprobado,Consorcio Via Norte,
POZ-005,Pozo de inspeccion,Pozo tipo A,K0+291,EI-2010-11,Concreto,1200,2025-02-14,,Observado,Consorcio Via Norte,
POZ-006,Pozo de inspeccion,Pozo tipo A,K0+357,EI-2010-11,Concreto,1200,2025-02-14,FM-10206,Aprobado,Consorcio Via Norte,
POZ-007,Pozo de inspeccion,Pozo tipo B,K0+420,EI-2010-12,Concreto,1500,2025-02-17,FM-10207,Aprobado,Consorcio Via Norte,
POZ-008,Pozo de inspeccion,Pozo tipo A,K0+484,EI-2010-11,Concreto,1200,2025-02-17,FM-10208,Aprobado,Consorcio Via Norte,
POZ-009,Pozo de inspeccion,Pozo tipo A,K0+549,EI-2010-11,Concreto,1200,2025-02-19,FM-10209,Aprobado,Consorcio Via Norte,
POZ-010,Pozo de inspeccion,Pozo tipo A,K0+612,EI-2010-11,Concreto,1200,2025-02-19,FM-10210,Aprobado,Consorcio Via Norte,
POZ-011,Pozo de inspeccion,Pozo tipo B,K0+676,EI-2010-12,Concreto,1500,2025-02-21,FM-10211,Aprobado,Consorcio Via Norte,
POZ-012,Pozo de inspeccion,Pozo tipo A,K0+742,EI-2010-11,Concreto,1200,2025-02-21,FM-10212,Aprobado,Consorcio Via Norte,
LUM-001,Luminaria,Luminaria LED 120W,K0+020,EI-3040-02,Aluminio,,2025-05-06,FM-20301,Aprobado,Consorcio Via Norte,
LUM-002,Luminaria,Luminaria LED 120W,K0+065,EI-3040-02,Aluminio,,2025-05-06,FM-20302,Aprobado,Consorcio Via Norte,
LUM-003,Luminaria,Luminaria LED 120W,K0+110,EI-3040-02,Aluminio,,2025-05-07,FM-20303,Aprobado,Consorcio Via Norte,
LUM-004,Luminaria,Luminaria LED 150W,K0+155,EI-3040-03,Aluminio,,2025-05-07,,Observado,Consorcio Via Norte,Potencia distinta a la del diseno aprobado
LUM-005,Luminaria,Luminaria LED 120W,K0+200,EI-3040-02,Aluminio,,2025-05-08,FM-20305,Aprobado,Consorcio Via Norte,
LUM-006,Luminaria,Luminaria LED 120W,K0+245,EI-3040-02,Aluminio,,2025-05-08,FM-20306,Aprobado,Consorcio Via Norte,
LUM-007,Luminaria,Luminaria LED 120W,K0+290,EI-3040-02,Aluminio,,2025-05-09,FM-20307,Aprobado,Consorcio Via Norte,
LUM-008,Luminaria,Luminaria LED 120W,K0+335,EI-3040-02,Aluminio,,2025-05-09,FM-20308,Aprobado,Consorcio Via Norte,
LUM-009,Luminaria,Luminaria LED 120W,K0+380,EI-3040-02,Aluminio,,2025-05-12,FM-20309,Aprobado,Consorcio Via Norte,
LUM-010,Luminaria,Luminaria LED 120W,K0+425,EI-3040-02,Aluminio,,2025-05-12,FM-20310,Aprobado,Consorcio Via Norte,
LUM-011,Luminaria,Luminaria LED 120W,K0+470,EI-3040-02,Aluminio,,2025-05-13,FM-20311,Aprobado,Consorcio Via Norte,
LUM-012,Luminaria,Luminaria LED 120W,K0+515,EI-3040-02,Aluminio,,2025-05-13,FM-20312,Aprobado,Consorcio Via Norte,
LUM-013,Luminaria,Luminaria LED 120W,K0+560,EI-3040-02,Aluminio,,2025-05-14,FM-20313,Aprobado,Consorcio Via Norte,
LUM-014,Luminaria,Luminaria LED 120W,K0+605,EI-3040-02,Aluminio,,2025-05-14,FM-20314,Aprobado,Consorcio Via Norte,
LUM-015,Luminaria,Luminaria LED 120W,K0+650,EI-3040-02,Aluminio,,2025-05-15,FM-20315,Aprobado,Consorcio Via Norte,
LUM-016,Luminaria,Luminaria LED 120W,K0+695,EI-3040-02,Aluminio,,2025-05-15,FM-20316,Aprobado,Consorcio Via Norte,
SEN-001,Senal vertical,SR-30 Velocidad maxima,K0+040,EI-3050-01,Lamina galvanizada,750,2025-06-02,FM-30101,Aprobado,Consorcio Via Norte,
SEN-002,Senal vertical,SP-46 Ciclorruta,K0+150,EI-3050-02,Lamina galvanizada,750,2025-06-02,FM-30102,Aprobado,Consorcio Via Norte,
SEN-003,Senal vertical,SR-01 Pare,K0+310,EI-3050-01,Lamina galvanizada,750,2025-06-03,,Observado,Consorcio Via Norte,
SEN-004,Senal vertical,SP-46 Ciclorruta,K0+455,EI-3050-02,Lamina galvanizada,750,2025-06-03,FM-30104,Aprobado,Consorcio Via Norte,
SEN-005,Senal vertical,SR-30 Velocidad maxima,K0+590,EI-3050-01,Lamina galvanizada,750,2025-06-04,FM-30105,Aprobado,Consorcio Via Norte,
SEN-006,Senal vertical,SP-46 Ciclorruta,K0+720,EI-3050-02,Lamina galvanizada,750,2025-06-04,FM-30106,Aprobado,Consorcio Via Norte,
ARB-001,Arborizacion,Guayacan amarillo,K0+075,EI-4010-01,,,2025-07-08,FM-40101,Aprobado,Consorcio Via Norte,
ARB-002,Arborizacion,Guayacan rosado,K0+215,EI-4010-01,,,2025-07-08,FM-40102,Aprobado,Consorcio Via Norte,
ARB-003,Arborizacion,Guayacan amarillo,K0+398,EI-4010-01,,,2025-07-09,,Observado,Consorcio Via Norte,Individuo trasplantado sin acta
ARB-004,Arborizacion,Caucho sabanero,K0+540,EI-4010-02,,,2025-07-09,FM-40104,Aprobado,Consorcio Via Norte,
